date,campaign_name,impressions,clicks,conversions,spend
2024-12-07,IG Campaign D,8619,873,85,1081.01
2025-02-20,IG Campaign C,15236,2846,592,1480.4
2025-02-09,IG Campaign C,13102,261,44,1637.16
2025-03-06,IG Campaign A,5668,290,79,1446.01
2025-02-24,IG Campaign C,2193,268,28,1111.57
2024-12-15,IG Campaign C,6029,464,54,1626.38
2025-04-01,IG Campaign D,10848,485,55,675.16
2025-07-31,IG Campaign D,14581,458,77,1700.49
2024-08-24,IG Campaign C,8202,620,166,1743.22
2025-05-17,IG Campaign D,18697,2218,638,1656.03
2025-01-01,IG Campaign B,10930,1416,113,1147.53
2025-04-27,IG Campaign C,9706,619,50,780.58
2024-09-22,IG Campaign B,11388,1828,329,1312.3
2025-07-22,IG Campaign B,14677,2835,427,1799.94
2025-04-03,IG Campaign B,10664,1769,288,1983.92
2024-12-25,IG Campaign B,15255,171,48,1404.92
2025-04-01,IG Campaign B,11535,1432,280,1254.36
2024-08-22,IG Campaign B,12826,949,268,1950.55
2025-02-20,IG Campaign A,18573,2460,271,800.2
2024-10-15,IG Campaign B,13496,1420,372,1294.61
2024-12-14,IG Campaign D,9698,968,86,1956.26
2024-11-28,IG Campaign B,13921,2576,337,654.57
2024-09-10,IG Campaign D,18830,694,100,1080.41
2025-06-11,IG Campaign A,3407,638,74,347.37
2025-06-29,IG Campaign B,8659,339,44,1311.51
2025-02-15,IG Campaign B,1993,380,113,1975.51
2025-06-10,IG Campaign D,19140,2445,237,1626.29
2025-01-30,IG Campaign B,17947,1437,155,1263.84
2024-08-25,IG Campaign C,11568,1912,320,1175.93
2024-08-30,IG Campaign D,2153,412,34,1645.69
2024-12-27,IG Campaign B,8719,1398,402,1042.69
2025-02-15,IG Campaign B,5640,891,232,1403.88
2025-07-01,IG Campaign C,19195,2855,826,1184.29
2025-01-14,IG Campaign A,6905,1001,281,1550.66
2024-08-22,IG Campaign D,15090,401,69,1917.17
2024-12-13,IG Campaign C,1500,31,5,126.6
2025-02-20,IG Campaign C,3055,480,36,300.6
2025-06-01,IG Campaign A,3570,562,117,1585.34
2025-01-26,IG Campaign A,6723,646,177,1500.94
2025-02-14,IG Campaign D,4710,889,260,952.6
2024-11-28,IG Campaign B,3419,477,32,375.48
2024-12-23,IG Campaign A,3041,74,5,859.22
2024-09-06,IG Campaign B,10194,673,165,1877.01
2024-08-19,IG Campaign B,15947,2594,548,538.47
2024-10-29,IG Campaign C,19205,2848,243,1054.28
2025-07-14,IG Campaign B,3343,358,28,922.26
2025-01-17,IG Campaign B,16599,611,89,622.81
2025-04-08,IG Campaign C,10991,308,88,1514.9
2024-08-04,IG Campaign A,19795,1994,188,1927.83
2025-08-01,IG Campaign A,8097,861,237,823.32
2025-07-30,IG Campaign B,8533,1288,79,203.5
2025-07-31,IG Campaign B,6338,1176,258,1031.42
2025-03-30,IG Campaign D,18586,1742,208,1741.41
2025-01-16,IG Campaign A,15722,538,76,928.97
2025-07-24,IG Campaign B,12549,743,122,933.66
2024-09-12,IG Campaign C,3228,551,135,1758.7
2024-09-06,IG Campaign A,19299,2822,285,1002.85
2025-04-08,IG Campaign B,12478,1968,220,444.94
2024-08-18,IG Campaign A,11578,2139,175,1910.88
2025-05-03,IG Campaign A,4402,515,60,1685.63
2025-06-17,IG Campaign B,14504,815,224,1203.6
2025-07-22,IG Campaign C,12690,1320,86,942.45
2025-04-21,IG Campaign A,4608,861,91,500.84
2025-01-16,IG Campaign A,19503,3601,338,1516.48
2024-11-06,IG Campaign A,1938,304,61,1162.97
2025-06-27,IG Campaign D,19469,3408,786,1454.12
2024-12-25,IG Campaign B,17810,2858,398,862.64
2024-12-11,IG Campaign B,10644,1039,183,1824.4
2024-12-11,IG Campaign A,8569,543,94,423.74
2025-07-10,IG Campaign A,17867,1714,334,1658.39
2025-02-03,IG Campaign D,8178,1552,301,1967.63
2025-08-01,IG Campaign B,17804,217,36,1737.8
2025-01-09,IG Campaign B,18569,3237,803,667.99
2025-01-16,IG Campaign D,18737,2567,247,1854.74
2025-05-02,IG Campaign C,3490,374,66,908.61
2024-11-29,IG Campaign A,6043,726,190,1771.41
2024-10-02,IG Campaign A,2988,151,35,1325.96
2024-09-22,IG Campaign A,9996,871,251,1724.96
2024-10-29,IG Campaign A,4959,935,247,1897.41
2025-01-13,IG Campaign B,6853,105,8,1837.16
2025-04-03,IG Campaign C,7231,859,91,139.21
2024-12-24,IG Campaign B,14318,2074,198,535.36
2024-11-02,IG Campaign A,19951,840,49,440.37
2025-03-10,IG Campaign D,11302,1807,414,897.75
2024-10-27,IG Campaign B,18732,1571,163,1837.53
2025-04-09,IG Campaign A,18121,490,89,1550.1
2024-09-10,IG Campaign A,16181,1140,236,975.65
2024-09-20,IG Campaign A,16316,1947,467,1758.64
2025-07-10,IG Campaign C,7109,711,138,530.13
2025-04-16,IG Campaign A,10471,1300,221,1602.1
2025-04-24,IG Campaign B,7018,618,131,1040.76
2024-08-30,IG Campaign A,1677,90,16,1502.38
2024-11-21,IG Campaign C,13404,1456,307,1816.49
2025-07-13,IG Campaign C,9315,268,44,1258.5
2025-01-11,IG Campaign A,14588,2251,113,972.91
2024-09-19,IG Campaign A,9335,1528,226,1728.61
2024-08-25,IG Campaign C,4928,273,17,1421.49
2024-12-11,IG Campaign D,15009,1518,85,1719.32
2025-02-16,IG Campaign D,13900,731,97,1287.81
2025-03-21,IG Campaign D,4527,700,83,362.67
2024-12-29,IG Campaign C,16830,1380,272,1630.25
2025-05-04,IG Campaign C,9226,352,46,1072.86
2024-10-30,IG Campaign A,7213,529,71,1078.63
2024-10-21,IG Campaign D,7515,982,189,653.7
2025-07-07,IG Campaign C,4663,742,71,1344.75
2025-04-03,IG Campaign D,12040,2235,124,1080.86
2025-04-18,IG Campaign C,17204,751,65,1884.16
2024-08-03,IG Campaign C,3492,307,78,510.32
2025-04-26,IG Campaign D,12594,769,104,830.54
2025-06-19,IG Campaign B,2303,423,105,1953.72
2024-09-25,IG Campaign D,16067,513,71,1831.02
2024-12-15,IG Campaign D,2301,382,41,1353.43
2025-05-18,IG Campaign C,7944,1322,234,704.45
2025-02-06,IG Campaign D,9568,1059,194,1918.42
2025-05-22,IG Campaign A,16322,1142,154,122.32
2025-07-31,IG Campaign B,4332,597,108,1604.25
2024-08-22,IG Campaign A,16876,2700,463,410.0
2025-07-18,IG Campaign B,15361,829,111,346.71
2024-11-19,IG Campaign D,16447,1533,228,1286.33
2024-12-06,IG Campaign B,3341,314,60,1035.43
2025-05-10,IG Campaign D,12003,1076,217,396.51
2024-11-15,IG Campaign A,18403,2758,525,697.12
2024-09-03,IG Campaign D,17447,2858,529,553.64
2024-11-16,IG Campaign B,4805,475,114,1995.14
2025-03-09,IG Campaign C,2859,134,10,1691.5
2024-08-12,IG Campaign C,8747,381,102,230.51
2025-06-29,IG Campaign D,12149,699,162,706.7
2025-02-25,IG Campaign D,3288,46,12,1530.14
2024-12-19,IG Campaign D,17248,1134,247,679.79
2024-09-24,IG Campaign D,18739,1892,156,1764.0
2024-12-07,IG Campaign C,9566,1117,257,194.98
2025-01-21,IG Campaign C,16884,2934,184,1367.07
2025-03-03,IG Campaign A,11792,1114,112,1856.99
2024-08-02,IG Campaign C,15539,1794,256,976.01
2024-11-02,IG Campaign C,19745,691,123,1042.34
2024-08-25,IG Campaign D,1393,140,25,622.29
2024-08-27,IG Campaign A,12322,940,200,1920.08
2025-02-11,IG Campaign C,9045,94,9,1066.77
2025-04-03,IG Campaign B,16301,2109,325,191.03
2025-07-20,IG Campaign B,1182,201,30,777.97
2024-11-05,IG Campaign C,5884,387,54,1085.32
2025-01-29,IG Campaign D,6274,328,78,322.6
2024-10-10,IG Campaign B,17060,1996,437,530.47
2025-01-26,IG Campaign B,19469,837,174,118.02
2025-05-15,IG Campaign A,18412,2717,761,538.5
2025-04-25,IG Campaign B,12716,1367,407,140.41
2025-03-31,IG Campaign D,9820,347,44,980.88
2025-05-26,IG Campaign C,13496,2603,573,1483.29
2025-03-24,IG Campaign B,16719,2724,399,1396.91
2024-09-05,IG Campaign C,9521,1845,169,832.85
2024-08-20,IG Campaign B,10211,1393,289,1721.19
2024-09-16,IG Campaign D,2827,249,67,1280.14
2025-06-04,IG Campaign C,7216,746,120,957.19
2025-04-08,IG Campaign C,6662,132,35,889.25
2024-12-19,IG Campaign B,8412,1250,209,477.55
2025-03-19,IG Campaign B,1012,192,18,586.42
2025-04-16,IG Campaign A,5674,1018,190,1420.01
2024-11-13,IG Campaign A,8689,1656,420,501.27
2024-08-18,IG Campaign A,1173,68,9,1947.04
2024-10-17,IG Campaign B,6835,315,45,323.25
2025-07-27,IG Campaign D,19667,579,98,434.72
2025-02-27,IG Campaign B,2859,454,35,1615.82
2024-09-24,IG Campaign D,1166,175,38,194.49
2024-11-26,IG Campaign A,3621,509,90,376.07
2024-08-29,IG Campaign C,14026,2156,268,1331.36
2025-07-23,IG Campaign B,11937,1987,505,244.03
2025-01-29,IG Campaign A,15465,2200,157,522.56
2025-01-14,IG Campaign D,5480,977,256,1586.0
2024-10-17,IG Campaign C,4536,254,42,948.77
2025-07-10,IG Campaign A,18241,1886,326,1255.8
2024-10-01,IG Campaign A,17624,1776,375,1061.79
2024-12-01,IG Campaign B,14960,2799,594,702.24
2025-03-18,IG Campaign D,7947,801,178,119.57
2025-05-20,IG Campaign A,13730,746,142,710.45
2025-05-18,IG Campaign D,1911,54,15,1697.05
2025-08-01,IG Campaign A,9527,1389,221,1304.14
2025-03-25,IG Campaign C,15140,2555,153,1413.77
2025-06-19,IG Campaign D,16290,2163,211,641.46
2025-07-17,IG Campaign C,7513,545,27,177.29
2025-02-24,IG Campaign D,15467,400,112,941.2
2025-05-11,IG Campaign C,10850,367,103,164.24
2024-09-23,IG Campaign B,4642,137,23,1597.73
2025-06-29,IG Campaign B,16049,1998,283,1252.56
2024-09-10,IG Campaign D,8966,1714,340,1700.32
2024-08-12,IG Campaign C,10942,1402,188,795.56
2025-02-01,IG Campaign C,4795,587,125,1540.11
2025-04-26,IG Campaign A,13908,828,61,689.4
2024-08-22,IG Campaign B,11132,683,65,1698.99
2025-01-21,IG Campaign B,17656,1115,211,935.67
2024-11-13,IG Campaign B,17985,2071,318,574.97
2025-01-13,IG Campaign B,3927,629,106,1334.02
2025-07-30,IG Campaign B,19138,288,21,1858.55
2025-07-16,IG Campaign B,3075,317,61,1814.82
2024-11-15,IG Campaign D,2256,392,56,1678.04
2025-03-14,IG Campaign B,1040,106,11,168.02
2024-12-17,IG Campaign A,17747,2572,374,478.75
2024-10-06,IG Campaign D,14499,1941,496,1255.59
2025-03-22,IG Campaign A,7635,566,95,1660.47
2024-11-21,IG Campaign A,2524,127,22,1954.32
2024-09-10,IG Campaign A,1381,64,6,1673.95
2024-08-24,IG Campaign D,16776,1610,153,127.86
2024-08-30,IG Campaign D,14768,595,149,782.8
2024-08-19,IG Campaign C,11767,825,130,1117.4
2024-08-30,IG Campaign D,19324,2486,184,1576.39
2025-05-24,IG Campaign C,12949,2249,172,1792.7
2025-04-14,IG Campaign C,17119,3049,669,588.01
2025-07-31,IG Campaign B,1408,259,69,232.11
2025-05-21,IG Campaign A,12743,1574,274,656.58
2025-02-13,IG Campaign B,2791,423,93,444.53
2025-05-18,IG Campaign A,14750,2535,595,1197.69
2025-02-02,IG Campaign B,11496,1425,389,1310.2
2025-02-21,IG Campaign A,1343,259,63,551.96
2025-06-30,IG Campaign D,17490,1533,386,1247.01
2024-12-15,IG Campaign D,1489,34,3,478.34
2025-06-24,IG Campaign A,10565,372,51,199.93
2024-12-12,IG Campaign D,6811,496,56,1093.92
2024-12-17,IG Campaign A,17807,1544,369,947.65
2025-02-01,IG Campaign C,13864,1314,242,977.0
2024-12-31,IG Campaign C,14228,2702,336,1440.2
2024-10-21,IG Campaign A,2643,430,90,177.1
2025-06-02,IG Campaign C,18292,722,38,1831.95
2025-07-01,IG Campaign D,12629,620,145,1443.65
2024-12-01,IG Campaign D,10750,1750,500,622.67
2024-08-04,IG Campaign D,8422,1471,223,108.89
2025-01-24,IG Campaign C,19501,2362,576,1009.09
2025-01-30,IG Campaign A,16586,569,55,101.0
2025-02-28,IG Campaign C,6894,1070,111,104.54
2025-01-22,IG Campaign D,6790,587,156,282.09
2024-10-03,IG Campaign B,17433,1848,212,1271.61
2024-09-25,IG Campaign B,5344,336,89,1880.56
2025-03-02,IG Campaign B,3857,764,178,775.66
2025-01-13,IG Campaign D,14367,1964,455,332.67
2025-07-18,IG Campaign D,12251,881,110,1816.27
2024-11-03,IG Campaign B,4857,910,222,842.6
2024-11-06,IG Campaign C,10517,143,20,1440.17
2025-04-04,IG Campaign B,3024,477,61,968.26
2025-01-16,IG Campaign A,8014,304,72,701.93
2025-07-03,IG Campaign B,4220,263,49,1824.99
2024-09-06,IG Campaign A,10862,519,88,397.59
2025-06-23,IG Campaign A,15734,790,142,1070.01
2024-08-20,IG Campaign B,18037,453,126,371.4
2024-12-03,IG Campaign C,11730,338,54,668.63
2024-12-09,IG Campaign C,18482,1798,100,1740.56
2025-04-29,IG Campaign A,2055,300,16,885.55
2025-04-18,IG Campaign A,8825,1693,349,1420.27
2025-05-13,IG Campaign A,7703,873,209,1728.13
2025-01-27,IG Campaign B,17381,1060,98,940.21
2025-07-24,IG Campaign D,19865,3761,545,1478.84
2024-10-21,IG Campaign B,16248,544,147,1870.71
2025-01-21,IG Campaign A,9006,1486,251,242.55
2025-05-21,IG Campaign C,17776,2495,311,342.61
2024-12-31,IG Campaign C,15372,1621,404,357.25
2024-12-03,IG Campaign D,12938,1618,364,1280.33
2025-03-16,IG Campaign B,8312,1545,211,450.91
2024-12-06,IG Campaign D,14992,2086,390,102.44
2025-02-28,IG Campaign B,13775,1435,190,911.09
2025-07-16,IG Campaign A,19499,755,91,1309.33
2024-09-08,IG Campaign B,6367,847,63,179.57
2025-04-19,IG Campaign C,6045,274,39,1699.28
2025-05-02,IG Campaign B,6665,249,63,1210.04
2024-08-21,IG Campaign D,3337,442,68,654.76
2025-01-24,IG Campaign D,12184,1989,121,821.83
2025-06-27,IG Campaign C,1727,200,15,1873.5
2025-07-03,IG Campaign B,13039,2418,614,464.11
2024-09-19,IG Campaign A,9523,1065,58,1875.03
2025-06-17,IG Campaign D,17912,2078,464,691.68
2025-03-21,IG Campaign B,17152,1533,419,297.62
2025-04-14,IG Campaign A,7540,893,265,1117.59
2025-04-16,IG Campaign A,11229,1217,278,778.49
2025-05-11,IG Campaign C,15083,1732,267,1643.35
2024-11-02,IG Campaign B,10363,2015,187,607.42
2025-05-14,IG Campaign A,14155,1196,246,1150.46
2025-05-28,IG Campaign C,15702,2154,132,485.88
2024-11-06,IG Campaign D,19554,823,127,1766.43
2025-04-05,IG Campaign D,9453,324,88,889.23
2025-04-17,IG Campaign D,5542,202,54,1031.2
2025-01-17,IG Campaign D,7583,79,4,1684.13
2025-05-21,IG Campaign C,6816,585,36,1525.78
2025-03-06,IG Campaign C,5879,935,78,632.53
2024-11-25,IG Campaign A,18090,366,67,574.62
2024-09-05,IG Campaign C,1740,110,20,336.56
2025-03-27,IG Campaign B,18705,311,24,508.42
2025-07-09,IG Campaign D,10512,295,35,276.54
2025-02-25,IG Campaign A,14905,270,77,504.5
2024-08-18,IG Campaign C,19130,2580,443,927.3
2025-03-27,IG Campaign C,15863,2687,646,272.33
2025-05-12,IG Campaign B,12393,2208,240,1261.34
2024-08-28,IG Campaign C,4558,754,44,1650.68
2024-09-03,IG Campaign B,6817,839,96,1447.63
2025-02-01,IG Campaign C,9094,1739,236,1838.65
2024-08-26,IG Campaign D,11501,899,156,1340.91
2024-11-20,IG Campaign D,2636,478,119,317.29
2024-09-23,IG Campaign B,3821,148,8,1153.74
2024-11-04,IG Campaign B,3026,206,34,1398.69
2025-03-14,IG Campaign B,8474,496,123,1373.23
2025-03-08,IG Campaign B,8147,697,55,580.94
2024-08-14,IG Campaign B,5253,492,103,403.51
2025-01-29,IG Campaign D,2208,416,108,1601.63
2025-06-06,IG Campaign D,19094,2514,565,461.61
2024-10-01,IG Campaign D,10846,1958,217,715.59
2025-04-18,IG Campaign B,19011,810,140,990.15
2024-12-27,IG Campaign C,6476,718,167,766.1
2025-03-25,IG Campaign C,9618,151,13,1486.6
2024-11-28,IG Campaign C,7122,381,27,385.56
2024-10-29,IG Campaign B,14077,1718,474,384.19
2025-01-11,IG Campaign B,12782,1520,433,1616.43
2025-04-26,IG Campaign C,15663,1967,384,1413.04
2025-04-26,IG Campaign A,13236,2312,317,666.73
2024-10-15,IG Campaign D,12827,328,32,1002.99
2025-07-03,IG Campaign B,9174,1349,295,1700.78
2025-03-14,IG Campaign D,3560,635,114,1695.39
2024-12-01,IG Campaign C,16973,1436,84,863.65
2024-09-14,IG Campaign C,11518,1193,216,1378.08
2025-05-03,IG Campaign C,15136,2180,537,892.02
2025-04-20,IG Campaign D,7551,604,42,1304.21
2024-09-05,IG Campaign C,10673,1653,161,533.44
2025-07-29,IG Campaign A,6240,187,32,219.1
2025-06-07,IG Campaign B,17696,2306,478,466.93
2025-01-11,IG Campaign B,2778,128,20,1015.23
2024-10-22,IG Campaign A,19191,1298,71,1418.09
2025-07-17,IG Campaign A,3209,460,103,1018.13
2024-11-02,IG Campaign D,14400,2706,241,229.04
2024-11-27,IG Campaign C,6896,321,20,1764.18
2024-09-19,IG Campaign D,4503,704,140,426.79
2024-08-06,IG Campaign B,4058,569,74,742.99
2025-03-18,IG Campaign D,6625,1321,202,290.59
2024-12-23,IG Campaign D,18679,3270,855,1381.14
2025-06-05,IG Campaign A,14641,2882,650,1322.13
2025-03-17,IG Campaign A,16606,2926,740,1381.75
2025-05-18,IG Campaign A,18653,3625,678,1824.28
2025-05-04,IG Campaign C,19745,3886,987,1903.53
2025-01-24,IG Campaign B,3411,140,20,1377.87
2024-09-19,IG Campaign D,5842,702,107,221.32
2025-01-14,IG Campaign B,19121,2012,253,260.22
2025-04-05,IG Campaign A,5582,400,87,1705.14
2024-08-31,IG Campaign D,1804,226,32,564.15
2024-09-07,IG Campaign D,3311,581,48,1768.42
2025-06-16,IG Campaign B,19028,3186,565,778.84
2024-11-07,IG Campaign D,16899,1716,182,1189.55
2025-06-01,IG Campaign D,5971,973,184,1873.99
2024-09-09,IG Campaign A,13763,2458,442,1160.27
2025-03-18,IG Campaign B,3828,716,75,330.77
2024-08-11,IG Campaign A,10584,1771,156,1911.4
2024-12-12,IG Campaign C,18962,1712,446,1293.31
2025-02-07,IG Campaign B,16310,1248,248,1782.97
2025-01-27,IG Campaign B,14313,1731,512,934.08
2025-05-29,IG Campaign D,14054,485,122,1099.91
2024-11-15,IG Campaign B,16606,2182,197,1649.43
2024-09-12,IG Campaign D,9622,1028,173,262.95
2024-11-12,IG Campaign B,3511,224,47,292.83
2025-04-28,IG Campaign C,7169,319,56,1200.62
2024-12-14,IG Campaign A,16183,2587,228,133.69
2025-04-25,IG Campaign B,6807,170,24,498.49
2025-04-12,IG Campaign C,9004,1607,473,794.02
2024-08-03,IG Campaign C,11186,903,262,865.15
2024-08-26,IG Campaign B,9713,881,176,1274.36
2025-01-28,IG Campaign A,7485,996,178,1965.6
2024-09-13,IG Campaign A,6355,109,12,1843.03
2024-08-20,IG Campaign B,9680,649,126,1308.11
2025-05-26,IG Campaign C,16147,360,94,316.32
2024-09-08,IG Campaign C,17570,1700,243,203.77
2025-01-04,IG Campaign D,6350,593,152,330.48
2025-01-29,IG Campaign C,7145,1164,201,784.47
2025-05-12,IG Campaign C,15190,496,73,644.46
2024-09-13,IG Campaign D,10414,326,51,1322.26
2024-12-07,IG Campaign C,6720,799,59,367.13
2024-12-08,IG Campaign C,12907,406,120,1593.36
2025-06-08,IG Campaign C,14515,1430,335,1077.36
2025-06-14,IG Campaign C,13553,675,183,886.89
2024-08-07,IG Campaign A,5762,1150,256,1682.08
2024-09-19,IG Campaign D,11306,337,24,1972.44
2025-01-07,IG Campaign A,16151,2195,622,933.69
2025-02-14,IG Campaign C,14748,917,198,1682.94
2025-04-14,IG Campaign D,2359,413,22,1503.35
2024-08-01,IG Campaign B,10374,770,130,1463.2
2024-08-04,IG Campaign A,1764,44,6,204.36
2024-11-30,IG Campaign C,14552,647,70,521.06
2024-09-14,IG Campaign C,12152,346,94,1781.73
2025-07-04,IG Campaign C,7210,217,28,919.79
2025-01-04,IG Campaign B,16987,531,140,790.04
2025-03-20,IG Campaign B,10786,1105,65,1240.53
2025-07-30,IG Campaign C,7514,929,189,1637.53
2024-10-21,IG Campaign D,14321,2760,639,1953.15
2025-04-07,IG Campaign D,2340,42,9,1193.54
2025-04-12,IG Campaign A,1167,232,45,1034.67
2025-03-18,IG Campaign A,2497,46,12,1744.53
2024-09-14,IG Campaign D,5302,864,219,1713.19
2025-03-02,IG Campaign C,1673,36,9,180.37
2024-10-15,IG Campaign D,18121,3126,857,1293.3
2025-02-05,IG Campaign A,3653,258,28,395.27
2025-05-02,IG Campaign B,12413,793,154,1968.53
2024-08-04,IG Campaign A,7733,948,198,1376.38
2024-08-01,IG Campaign D,18825,2777,222,727.08
2024-11-18,IG Campaign D,16791,1709,161,1239.35
2024-11-18,IG Campaign D,15559,2343,266,668.86
2025-07-09,IG Campaign D,12620,2440,252,1343.07
2025-04-28,IG Campaign C,14699,1031,223,159.72
2025-06-27,IG Campaign D,14365,847,89,441.54
2024-09-06,IG Campaign D,1279,106,6,1465.93
2024-10-29,IG Campaign A,19427,2865,607,1820.33
2025-07-29,IG Campaign C,19699,830,112,1033.64
2024-08-30,IG Campaign B,1733,331,57,1097.29
2025-07-04,IG Campaign D,1261,225,41,1127.83
2024-10-03,IG Campaign C,13540,1115,236,671.42
2025-07-26,IG Campaign D,13355,1703,287,283.68
2024-10-05,IG Campaign B,5790,1003,93,260.97
2024-08-11,IG Campaign A,18869,2685,315,422.89
2025-04-08,IG Campaign B,15048,610,82,914.02
2025-07-23,IG Campaign A,5528,1013,217,783.04
