date,campaign_name,emails_sent,opens,clicks,conversions
2025-03-24,Email Campaign W,11639,5358,361,57
2025-03-11,Email Campaign Z,14469,5257,340,69
2024-11-07,Email Campaign Z,7327,2142,627,80
2025-01-16,Email Campaign W,3547,750,208,19
2024-08-27,Email Campaign Y,11722,5711,433,105
2025-07-18,Email Campaign Y,11894,1875,475,94
2025-03-10,Email Campaign Y,3391,1389,118,22
2025-06-07,Email Campaign X,14910,5608,1232,120
2024-11-20,Email Campaign W,4292,1051,157,33
2025-05-23,Email Campaign W,13349,5268,872,55
2024-08-15,Email Campaign Y,2816,1065,58,9
2025-04-22,Email Campaign Y,6535,1306,346,74
2025-07-14,Email Campaign X,12605,5424,451,59
2025-05-02,Email Campaign X,7958,1289,316,46
2024-08-25,Email Campaign Z,14532,3813,1137,105
2025-03-22,Email Campaign Z,5645,1906,190,46
2024-10-23,Email Campaign Z,3920,751,121,14
2025-02-26,Email Campaign X,3481,393,73,4
2025-04-22,Email Campaign X,4093,785,94,23
2025-06-03,Email Campaign X,6742,1117,321,56
2025-05-06,Email Campaign X,6688,1172,221,41
2025-05-29,Email Campaign X,9357,2847,442,24
2025-04-18,Email Campaign Z,10673,4120,1231,276
2024-10-20,Email Campaign Y,4167,1998,231,40
2025-05-11,Email Campaign Y,12004,2322,692,109
2025-05-12,Email Campaign X,4994,671,122,29
2025-05-29,Email Campaign X,14806,5311,566,111
2025-04-13,Email Campaign X,13938,4078,442,33
2024-10-19,Email Campaign Y,12775,3858,1123,112
2024-12-15,Email Campaign Y,10374,1765,268,28
2025-07-28,Email Campaign X,1681,317,92,10
2024-12-27,Email Campaign X,8699,4297,633,34
2025-03-27,Email Campaign Y,4070,515,138,23
2025-01-02,Email Campaign Y,10881,5118,993,186
2025-04-22,Email Campaign Z,14319,7035,1918,102
2024-08-10,Email Campaign W,10079,2976,382,60
2025-02-05,Email Campaign Z,2247,417,38,5
2025-02-02,Email Campaign Z,3342,987,206,38
2024-11-07,Email Campaign Z,4953,1043,227,24
2025-02-27,Email Campaign X,13931,6040,764,177
2024-08-19,Email Campaign W,11758,5811,1180,104
2025-04-11,Email Campaign Z,4297,951,149,26
2024-11-05,Email Campaign Z,10368,1384,146,22
2024-12-22,Email Campaign Z,13718,2214,606,41
2025-05-04,Email Campaign X,12585,1382,271,58
2024-12-24,Email Campaign X,13181,2664,146,7
2024-11-19,Email Campaign X,7357,2074,366,57
2025-01-13,Email Campaign W,10266,4436,1323,201
2024-09-28,Email Campaign Y,3036,1273,360,57
2025-01-06,Email Campaign W,12289,5897,1329,240
2024-09-05,Email Campaign Z,3092,1224,298,62
2024-11-01,Email Campaign X,5396,1063,157,31
2024-08-25,Email Campaign Y,10824,3384,846,47
2024-08-18,Email Campaign W,6011,1654,491,90
2024-12-18,Email Campaign Y,7036,823,185,24
2025-07-07,Email Campaign W,14688,6140,657,56
2025-03-01,Email Campaign W,4913,2412,701,95
2025-05-15,Email Campaign W,6899,1022,105,17
2025-05-25,Email Campaign X,11976,3272,363,87
2024-12-05,Email Campaign X,3239,761,125,14
2025-01-24,Email Campaign X,1194,166,12,2
2025-04-02,Email Campaign Y,10292,4730,1146,112
2025-07-23,Email Campaign Y,11329,4384,476,73
2025-06-29,Email Campaign Y,12685,4151,229,35
2025-05-31,Email Campaign W,12082,4014,1088,173
2025-06-04,Email Campaign X,6551,2809,461,33
2025-07-22,Email Campaign X,4581,1394,127,22
2024-12-16,Email Campaign Z,4151,1636,484,93
2025-07-01,Email Campaign X,11937,3836,841,125
2024-09-02,Email Campaign Y,7945,1727,98,18
2025-03-02,Email Campaign Y,2195,795,186,42
2025-01-15,Email Campaign Z,4129,724,205,51
2024-09-03,Email Campaign W,5759,1433,412,97
2024-10-29,Email Campaign Y,8914,3373,677,125
2024-12-06,Email Campaign X,8617,4275,475,51
2025-05-08,Email Campaign Y,12179,4639,400,95
2024-11-10,Email Campaign X,13654,3175,619,120
2025-06-13,Email Campaign W,9714,1939,125,12
2024-08-17,Email Campaign X,9036,1629,271,56
2024-10-21,Email Campaign Z,4748,1805,178,22
2024-10-11,Email Campaign Z,12884,5779,1080,160
2025-06-12,Email Campaign Z,13469,4038,523,85
2025-07-13,Email Campaign W,14740,6154,807,185
2025-06-23,Email Campaign Z,1003,310,81,18
2024-08-24,Email Campaign W,14376,4797,1060,173
2024-08-25,Email Campaign X,2005,680,88,17
2025-01-25,Email Campaign Y,1786,697,131,12
2025-04-20,Email Campaign Y,13542,5159,1329,126
2025-01-16,Email Campaign X,4044,855,233,30
2025-07-09,Email Campaign W,9459,1973,557,69
2025-01-28,Email Campaign Z,4306,1454,282,55
2025-02-18,Email Campaign W,14212,4085,368,81
2025-07-26,Email Campaign W,7300,3591,505,121
2024-11-30,Email Campaign Z,11833,5299,1140,90
2024-08-06,Email Campaign Y,1738,198,48,6
2025-06-27,Email Campaign Y,2581,271,78,17
2025-05-06,Email Campaign X,11276,3457,670,102
2024-10-11,Email Campaign W,13460,3448,328,18
2025-05-14,Email Campaign Z,4944,520,82,14
2024-10-16,Email Campaign W,8729,2737,359,26
2024-09-20,Email Campaign Y,3723,813,145,24
2025-04-08,Email Campaign W,6458,2627,157,15
2025-07-31,Email Campaign X,4917,776,76,12
2024-11-14,Email Campaign Y,4032,1616,331,68
2024-08-04,Email Campaign W,3479,1128,178,35
2025-07-25,Email Campaign Y,13363,2685,695,134
2024-10-12,Email Campaign W,14552,2032,347,56
2024-10-07,Email Campaign Z,9311,2202,214,30
2024-12-13,Email Campaign Z,12667,3618,576,66
2025-06-10,Email Campaign Y,11289,3627,334,56
2025-07-03,Email Campaign Y,4174,1584,448,31
2025-03-01,Email Campaign W,1124,342,41,8
2025-05-03,Email Campaign Y,2427,330,60,10
2024-12-29,Email Campaign Z,3259,1042,146,20
2025-03-11,Email Campaign Y,12985,3910,1158,228
2024-12-21,Email Campaign W,8357,1763,256,46
2024-11-17,Email Campaign X,1628,650,105,17
2025-03-28,Email Campaign Y,12024,3836,334,82
2025-02-26,Email Campaign X,4184,1491,301,54
2025-03-10,Email Campaign Y,8309,1606,295,70
2024-12-05,Email Campaign Y,6122,1391,101,5
2025-03-28,Email Campaign X,14153,5586,600,113
2025-05-15,Email Campaign X,11646,3080,558,62
2025-01-09,Email Campaign X,4710,1580,221,33
2024-12-13,Email Campaign Z,1999,971,264,61
2024-10-06,Email Campaign X,2350,853,184,22
2025-01-03,Email Campaign Z,13036,2854,721,60
2025-07-08,Email Campaign Y,10193,3570,639,102
2024-12-02,Email Campaign Y,13202,3146,287,57
2024-10-17,Email Campaign X,8642,3142,693,95
2024-11-05,Email Campaign Z,11681,5578,1572,282
2025-06-01,Email Campaign X,2515,347,99,22
2025-04-15,Email Campaign Y,8711,2935,269,45
2025-06-07,Email Campaign Z,10786,1255,336,72
2024-12-07,Email Campaign Z,1242,227,16,1
2024-08-23,Email Campaign W,4026,1526,155,20
2024-09-03,Email Campaign W,8676,2868,674,98
2024-11-19,Email Campaign Y,6070,2318,593,67
2025-01-27,Email Campaign W,11136,5539,454,81
2025-04-29,Email Campaign Y,13108,3143,506,60
2025-06-21,Email Campaign X,2574,273,75,8
2025-01-14,Email Campaign W,11629,3177,567,34
2025-03-23,Email Campaign W,10882,4298,764,66
2024-08-21,Email Campaign Y,6671,2786,302,59
2025-01-21,Email Campaign W,13907,2049,330,62
2025-05-09,Email Campaign Y,10602,5177,1154,238
2025-03-03,Email Campaign W,11225,1373,111,27
2025-02-18,Email Campaign W,3329,1360,142,22
2025-07-30,Email Campaign Y,2553,1060,273,37
2025-06-28,Email Campaign X,12683,3819,584,68
2025-01-16,Email Campaign Z,1478,199,52,10
2025-03-20,Email Campaign Z,11744,5766,1487,154
2025-02-09,Email Campaign W,13891,5707,634,134
2024-11-12,Email Campaign W,5953,1782,253,17
2025-03-30,Email Campaign X,3832,511,40,4
2025-04-09,Email Campaign W,12452,5102,1229,184
2025-03-27,Email Campaign X,2645,286,17,3
2025-02-08,Email Campaign W,6166,1861,194,42
2025-03-14,Email Campaign Z,2499,460,38,9
2025-04-01,Email Campaign W,4501,1610,93,19
2024-12-28,Email Campaign Y,7969,3459,837,158
2025-05-20,Email Campaign X,2650,1110,282,19
2025-02-26,Email Campaign Y,1123,254,20,4
2024-10-27,Email Campaign Z,14424,3649,883,128
2024-09-26,Email Campaign Y,12444,5614,1202,209
2024-09-21,Email Campaign Z,10492,4455,325,31
2024-12-02,Email Campaign X,8525,1436,234,34
2025-05-27,Email Campaign W,7968,3559,845,179
2025-05-07,Email Campaign Z,2377,1164,317,51
2024-12-20,Email Campaign X,12211,4755,1366,338
2024-08-29,Email Campaign X,1458,554,66,5
2024-11-20,Email Campaign X,13817,2626,390,57
2025-06-28,Email Campaign Z,6888,3382,378,28
2025-01-05,Email Campaign X,12226,3760,923,142
2024-10-16,Email Campaign Z,2661,991,67,7
2024-12-16,Email Campaign Z,11797,2659,339,53
2024-12-27,Email Campaign X,10073,4526,309,27
2025-01-21,Email Campaign Z,8808,3289,495,71
2024-09-27,Email Campaign X,14764,5267,1036,171
2025-04-08,Email Campaign W,8125,1172,154,31
2024-12-08,Email Campaign Z,4668,2116,419,85
2025-06-10,Email Campaign Y,1347,472,117,6
2024-11-01,Email Campaign Z,5471,1874,266,55
2025-06-19,Email Campaign Z,7279,1862,297,44
2025-03-30,Email Campaign X,9415,2064,221,16
2025-04-20,Email Campaign Y,12085,3468,749,137
2025-02-05,Email Campaign Z,3656,1186,215,38
2025-04-22,Email Campaign W,1069,457,88,17
2025-03-29,Email Campaign X,11765,4687,302,54
2025-03-04,Email Campaign Z,3137,1527,237,17
2024-10-09,Email Campaign X,5066,1356,328,28
2025-07-29,Email Campaign W,6912,2895,641,154
2025-07-09,Email Campaign Y,6739,3101,519,105
2025-05-30,Email Campaign Y,4556,2156,278,43
2024-08-26,Email Campaign W,2238,574,142,20
2025-01-10,Email Campaign Z,5707,1109,106,22
2025-03-03,Email Campaign Y,8084,3519,544,90
2025-04-27,Email Campaign W,6032,1885,304,65
2025-03-20,Email Campaign W,12998,5565,1474,94
2025-03-16,Email Campaign W,5560,2253,385,82
2024-10-13,Email Campaign Z,10588,3414,549,90
2025-05-28,Email Campaign Y,7751,1635,121,27
2025-03-24,Email Campaign Z,12691,4440,788,47
2025-01-08,Email Campaign W,11855,2799,408,79
2024-11-04,Email Campaign Y,3812,1244,68,11
2025-03-19,Email Campaign Y,7482,1372,165,29
2025-07-30,Email Campaign Z,13730,4536,1002,86
2024-11-06,Email Campaign X,13792,1419,399,66
2024-11-29,Email Campaign X,1390,481,24,2
2025-02-15,Email Campaign Z,10457,1462,293,33
2025-03-25,Email Campaign Y,7277,3128,585,121
2025-06-26,Email Campaign X,3416,592,49,12
2025-07-14,Email Campaign X,11483,3109,805,77
2025-07-06,Email Campaign X,1646,428,77,14
2025-05-11,Email Campaign W,12480,2250,260,44
2025-06-06,Email Campaign Z,3882,564,145,16
2025-01-01,Email Campaign W,12279,3715,573,39
2025-07-01,Email Campaign W,4824,610,52,7
2024-09-08,Email Campaign W,7120,1496,285,44
2024-10-11,Email Campaign Y,1530,356,72,4
2025-03-26,Email Campaign X,2034,809,69,7
2024-12-22,Email Campaign Y,11768,3662,737,105
2025-03-29,Email Campaign Y,11935,1779,362,90
2025-07-20,Email Campaign X,2387,701,117,27
2025-03-11,Email Campaign Z,6311,2464,498,87
2025-04-28,Email Campaign W,4156,1522,320,63
2025-03-12,Email Campaign X,11815,5339,1598,140
2024-12-07,Email Campaign X,2534,549,63,5
2024-10-22,Email Campaign X,3481,1081,283,38
2024-12-29,Email Campaign W,2540,1243,122,8
2024-12-01,Email Campaign Y,9861,4765,1170,164
2024-08-23,Email Campaign X,13567,2964,805,65
2025-06-30,Email Campaign Y,3746,1293,165,27
2024-11-11,Email Campaign W,2157,266,66,9
2024-12-17,Email Campaign Y,7816,2467,159,34
2024-10-24,Email Campaign X,8453,3136,406,92
2024-08-12,Email Campaign W,2158,416,95,14
2025-07-03,Email Campaign Y,1783,643,90,6
2025-04-05,Email Campaign Y,12314,4531,527,119
2025-07-05,Email Campaign Z,10534,1915,296,28
2024-09-21,Email Campaign X,2584,1176,122,16
2024-11-18,Email Campaign Y,10008,3595,693,152
2024-10-08,Email Campaign W,12943,3545,829,43
2024-11-04,Email Campaign W,12430,3465,941,213
2025-04-26,Email Campaign W,6287,2056,144,27
2025-03-30,Email Campaign W,6310,1429,134,8
2025-04-17,Email Campaign W,13854,6046,454,32
2025-03-03,Email Campaign Z,4575,1152,343,54
2024-08-23,Email Campaign W,13948,3683,792,197
2025-05-09,Email Campaign W,13144,4595,1376,328
2025-06-23,Email Campaign Y,5165,720,112,22
2024-08-07,Email Campaign X,10728,3131,765,123
2024-11-03,Email Campaign W,2339,455,25,4
2025-01-05,Email Campaign Z,6212,2171,161,33
2025-07-25,Email Campaign X,6942,2921,638,91
2024-11-10,Email Campaign Z,13267,6033,440,70
2025-07-30,Email Campaign W,6672,2478,219,39
2024-08-01,Email Campaign Y,6861,1650,286,26
2025-06-28,Email Campaign Z,5416,2150,264,38
2024-12-05,Email Campaign W,6549,1858,370,64
2025-07-14,Email Campaign X,14707,5331,1425,258
2024-09-27,Email Campaign Y,1829,496,40,8
2025-01-31,Email Campaign X,14852,5560,490,65
2025-04-11,Email Campaign Y,12354,4157,1144,196
2025-03-31,Email Campaign Z,1966,894,250,49
2024-08-15,Email Campaign Y,1086,129,8,1
2024-08-11,Email Campaign Z,3271,1093,90,22
2024-12-08,Email Campaign Z,5553,1854,513,76
2024-08-04,Email Campaign Y,4828,2077,111,23
2025-02-10,Email Campaign Y,2610,592,102,7
2025-05-05,Email Campaign X,2880,1062,211,35
2024-08-29,Email Campaign W,9450,1551,91,12
2025-02-28,Email Campaign Z,6606,2252,274,44
2025-01-15,Email Campaign X,4044,641,93,10
2025-01-01,Email Campaign Y,12969,2106,479,96
2025-03-06,Email Campaign Z,14212,6732,1327,273
2025-01-06,Email Campaign X,2870,347,51,8
2025-06-15,Email Campaign W,1849,680,109,7
2025-03-31,Email Campaign Y,13567,2669,390,20
2024-09-14,Email Campaign Y,4374,1660,322,64
2025-07-26,Email Campaign W,1122,211,40,3
2024-10-11,Email Campaign Y,2586,622,111,17
2024-12-05,Email Campaign Z,12574,2201,380,79
2024-12-02,Email Campaign W,11004,1607,461,51
2024-08-01,Email Campaign Y,12345,1392,386,72
2024-10-29,Email Campaign Z,7523,2808,345,35
2025-04-10,Email Campaign Z,1240,421,43,8
2024-12-08,Email Campaign Y,7180,739,138,18
2024-12-01,Email Campaign Z,3431,1386,293,41
2024-09-03,Email Campaign W,12640,5975,1586,238
2025-02-01,Email Campaign W,1241,254,48,8
2024-12-07,Email Campaign Z,10800,4310,441,48
2025-02-14,Email Campaign Y,11096,1437,183,15
2025-05-27,Email Campaign W,11276,4955,1143,229
2025-02-04,Email Campaign Z,7441,2828,268,43
2025-05-31,Email Campaign W,12233,2686,267,56
2025-04-29,Email Campaign Z,2225,711,86,15
2024-11-18,Email Campaign W,14333,5502,1607,87
2025-05-21,Email Campaign Y,7547,1580,247,13
2025-05-13,Email Campaign Z,5291,2025,143,12
2024-12-03,Email Campaign Z,4230,1960,140,19
2024-08-23,Email Campaign X,4194,1644,421,98
2025-05-12,Email Campaign Y,6538,825,114,15
2025-04-30,Email Campaign W,14633,4623,500,114
2025-02-05,Email Campaign X,9724,1458,203,29
2025-04-02,Email Campaign W,1530,648,115,28
2024-11-04,Email Campaign Z,3930,1883,482,44
2025-05-26,Email Campaign Y,2640,859,61,12
2025-06-05,Email Campaign X,6711,2199,524,123
2025-02-10,Email Campaign W,13890,3774,254,13
2025-01-19,Email Campaign Y,11809,3188,474,96
2025-04-19,Email Campaign Z,13816,1435,86,8
2024-08-23,Email Campaign Z,6364,832,197,15
2025-04-22,Email Campaign W,10810,1452,155,11
2025-03-14,Email Campaign Y,7197,3018,294,21
2025-01-16,Email Campaign Y,3907,1568,166,26
2025-04-23,Email Campaign X,12116,3087,556,112
2025-05-22,Email Campaign W,11478,3197,673,70
2024-08-02,Email Campaign Y,4397,1440,414,96
2025-06-28,Email Campaign Y,2098,563,107,22
2025-05-22,Email Campaign Z,3706,1528,327,33
2025-03-21,Email Campaign Z,11943,1576,440,56
2024-11-07,Email Campaign W,12750,2062,395,22
2024-08-23,Email Campaign Z,14466,6247,1021,185
2024-11-06,Email Campaign X,1345,352,54,9
2025-05-12,Email Campaign Z,1204,409,23,2
2025-06-29,Email Campaign Y,4608,856,199,36
2025-01-30,Email Campaign Z,3684,1810,121,13
2024-11-03,Email Campaign Y,1603,711,180,36
2025-05-21,Email Campaign Y,13693,3759,545,65
2025-06-06,Email Campaign Y,14416,6851,418,67
2025-02-24,Email Campaign Z,2535,702,85,5
2024-10-26,Email Campaign X,8168,1976,165,25
2025-02-11,Email Campaign W,5737,2098,522,50
2025-07-25,Email Campaign W,9760,3499,410,36
2024-09-17,Email Campaign Y,4721,1551,277,39
2025-03-25,Email Campaign X,7603,920,184,28
2025-05-07,Email Campaign Z,12107,4679,916,107
2025-06-23,Email Campaign X,8964,3581,977,154
2025-05-14,Email Campaign Z,14738,6287,1474,85
2025-03-05,Email Campaign X,10388,4731,1017,55
2024-08-12,Email Campaign Y,7896,1835,474,26
2024-12-06,Email Campaign X,11698,1183,192,43
2025-06-21,Email Campaign Y,2804,1127,169,37
2024-10-09,Email Campaign W,9515,4370,279,22
2025-06-29,Email Campaign W,1319,601,48,8
2025-06-30,Email Campaign W,10695,1738,460,62
2024-12-14,Email Campaign Z,7703,1399,222,29
2025-07-20,Email Campaign Y,11604,5494,506,53
2024-11-14,Email Campaign Z,11731,2322,269,49
2025-05-28,Email Campaign Z,10027,3824,260,39
2025-03-07,Email Campaign Z,9736,2821,231,17
2025-06-10,Email Campaign W,8430,1328,167,23
2024-08-15,Email Campaign X,10185,2099,317,39
2025-07-20,Email Campaign Y,1354,357,19,2
2025-02-25,Email Campaign Z,3249,754,103,6
2025-06-12,Email Campaign Z,10214,4262,881,84
2025-04-16,Email Campaign Y,13991,3703,839,131
2025-03-29,Email Campaign X,14971,2448,264,16
2024-12-05,Email Campaign X,7967,3872,719,67
2025-02-14,Email Campaign W,13180,4902,953,118
2025-03-11,Email Campaign X,2356,698,207,20
2025-04-17,Email Campaign X,12713,1653,247,24
2024-10-06,Email Campaign Z,4138,513,71,13
2024-08-01,Email Campaign W,4018,651,140,11
2025-01-27,Email Campaign Z,13657,4384,347,64
2025-02-24,Email Campaign Z,1556,716,140,29
2024-12-19,Email Campaign Y,12801,3973,720,142
2025-04-13,Email Campaign W,9094,2010,555,57
2024-10-04,Email Campaign W,6083,2164,415,93
2024-12-13,Email Campaign Z,1534,198,58,7
2025-07-20,Email Campaign Y,13921,4187,981,175
2024-10-09,Email Campaign X,5573,1716,440,77
2024-08-04,Email Campaign X,5903,1735,436,60
2025-03-23,Email Campaign W,2224,537,30,2
2024-11-08,Email Campaign W,14614,6107,1414,244
2024-10-29,Email Campaign Z,11012,1885,171,39
2024-08-25,Email Campaign W,13686,4421,1038,110
2025-05-10,Email Campaign Z,1075,453,43,10
2025-03-11,Email Campaign Y,14518,1896,293,66
2024-11-05,Email Campaign W,2433,1108,102,6
2025-03-30,Email Campaign X,5086,1233,245,43
2024-08-09,Email Campaign W,5572,2301,394,49
2025-05-27,Email Campaign Y,8215,3094,477,85
2024-10-15,Email Campaign Z,1840,457,60,14
2024-09-15,Email Campaign X,11482,4157,899,77
2024-11-18,Email Campaign X,12449,5029,1147,188
2025-05-07,Email Campaign W,1468,641,138,28
2025-03-31,Email Campaign X,5549,1822,314,42
2025-02-19,Email Campaign X,7027,1547,325,40
2025-06-21,Email Campaign X,6878,2707,218,21
2024-10-24,Email Campaign W,2268,450,82,8
2024-12-10,Email Campaign W,7806,1014,233,27
2024-11-27,Email Campaign W,8202,2406,237,56
2024-10-26,Email Campaign Z,8414,3039,684,165
2025-03-26,Email Campaign X,6692,2166,361,40
2025-07-25,Email Campaign W,9349,2765,781,193
2024-09-18,Email Campaign Z,12216,2832,796,158
2025-05-04,Email Campaign Z,7645,1063,202,34
2025-01-03,Email Campaign W,4905,2162,314,25
2025-07-12,Email Campaign Y,14624,3931,827,69
2025-01-05,Email Campaign Z,11927,3465,309,25
2025-01-07,Email Campaign X,5026,1426,300,22
2025-06-19,Email Campaign Z,13110,5147,1426,207
2025-01-03,Email Campaign W,10905,4498,1127,156
2024-09-11,Email Campaign Y,14027,3228,915,128
2024-11-02,Email Campaign Y,9901,2769,670,43
2024-09-09,Email Campaign Z,2459,631,183,20
2025-06-13,Email Campaign X,5229,2144,573,29
2025-04-29,Email Campaign X,13073,6322,1071,193
2024-12-27,Email Campaign Z,6253,3032,643,79
2025-05-08,Email Campaign W,6035,616,177,21
2025-05-08,Email Campaign Y,14057,5209,634,109
2025-06-04,Email Campaign X,8468,2914,279,29
2025-02-28,Email Campaign Y,1766,643,41,8
2024-11-15,Email Campaign Y,10328,2845,566,98
2025-07-19,Email Campaign Y,3037,1170,244,35
2025-04-09,Email Campaign W,2899,1418,288,55
2025-06-10,Email Campaign W,13659,4405,1045,217
2024-10-04,Email Campaign Z,11701,3819,1116,138
2024-11-20,Email Campaign Z,10862,2788,467,54
2025-01-17,Email Campaign W,2292,1120,181,19
2025-04-27,Email Campaign W,7148,1031,191,31
2025-03-13,Email Campaign X,2971,547,42,4
2025-07-12,Email Campaign X,2514,256,41,8
2025-07-17,Email Campaign Z,4373,1016,108,8
2024-11-06,Email Campaign Z,9881,1186,99,16
2025-05-09,Email Campaign Z,14923,3215,607,80
2025-07-28,Email Campaign X,8363,2746,227,28
2025-02-03,Email Campaign X,10598,2157,246,32
2024-09-11,Email Campaign X,10721,2154,485,104
2024-10-14,Email Campaign X,9798,2519,208,11
2024-12-07,Email Campaign X,10129,3028,462,113
2025-06-03,Email Campaign W,4636,1915,425,83
2024-09-27,Email Campaign W,9208,2058,219,16
2024-08-21,Email Campaign W,10694,3105,289,21
2025-01-28,Email Campaign Z,3541,1760,172,12
2024-10-09,Email Campaign W,14805,6998,559,96
2025-06-11,Email Campaign X,9724,4560,772,109
2025-04-11,Email Campaign X,7013,1250,206,36
2025-01-18,Email Campaign Y,12951,1874,499,106
2025-07-13,Email Campaign X,3343,971,141,34
2025-01-15,Email Campaign Z,12520,2026,113,17
2024-10-31,Email Campaign Z,5377,1156,162,15
2025-01-11,Email Campaign W,5251,1196,70,12
2024-12-04,Email Campaign X,12101,1346,381,68
